IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Year,Industry,Price_1W,Price_1M,Price_6M,Price_1Y,Return_1W_pct,Return_1M_pct,Return_6M_pct,Return_1Y_pct,Market Cap Size,Success_Q2
2019-07-25,CSTL,"Castle Biosciences, Inc.",16.0,18.73,17.06,540.27,2019,Diagnostics & Research,21.95,23.5,30.87,39.04,37.19,46.88,92.94,144.0,Mid Cap,1
2019-07-25,HCAT,"Health Catalyst, Inc.",26.0,4.06,-84.31,285.06,2019,Health Information Services,44.43,38.63,37.0,35.98,70.88,48.58,42.31,38.38,Small Cap,1
2019-07-25,NOVA,Sunnova Energy International Inc.,12.0,0.21,-98.28,26.59,2019,Solar,11.39,8.66,12.71,22.3,-5.08,-27.83,5.92,85.83,Small Cap,1
2019-07-24,EIC,Eagle Point Income Company Inc.,19.0,14.54,-23.47,307.43,2019,Asset Management,12.52,12.69,12.52,9.06,-34.11,-33.21,-34.11,-52.32,Mid Cap,0
2019-07-19,AFYA,Afya Limited,19.0,18.95,-0.26,1710.0,2019,Education & Training Services,27.79,26.68,27.91,22.69,46.26,40.42,46.89,19.42,Mid Cap,1
2019-07-19,IFS,Intercorp Financial Services Inc.,46.0,34.61,-23.87,3890.0,2019,Banks - Regional,32.5,30.39,30.14,21.13,-29.35,-33.93,-34.48,-54.07,Large Cap,0
2019-07-18,FULC,"Fulcrum Therapeutics, Inc.",16.0,5.69,-64.44,307.14,2019,Biotechnology,13.25,9.04,18.54,17.88,-17.19,-43.5,15.87,11.75,Mid Cap,1
2019-07-18,IHRT,"iHeartMedia, Inc.",17.0,1.06,-93.77,161.0,2019,Broadcasting,15.62,13.25,17.1,8.86,-8.12,-22.06,0.59,-47.88,Small Cap,0
2019-07-18,MIRM,"Mirum Pharmaceuticals, Inc.",15.0,44.12,193.07,2180.0,2019,Biotechnology,13.78,13.05,18.0,20.17,-8.13,-13.0,20.0,34.47,Large Cap,1
2019-07-18,OBDC,Blue Owl Capital Corporation,15.3,13.84,-8.95,7070.0,2019,Asset Management,8.41,8.47,9.39,7.5,-45.03,-44.64,-38.63,-50.98,Large Cap,0
2019-07-18,PHR,"Phreesia, Inc.",17.0,25.24,49.41,1480.0,2019,Health Information Services,24.8,26.67,25.88,29.17,45.88,56.88,52.24,71.59,Mid Cap,1
2019-07-17,DOYU,DouYu International Holdings Limited,11.5,7.62,-33.74,229.96,2019,Internet Content & Information,18.79,16.03,17.24,22.2,63.39,39.39,49.91,93.04,Small Cap,1
2019-07-02,RMBI,"Richmond Mutual Bancorporation, Inc.",10.0,14.21,43.0,136.75,2019,Banks - Regional,11.06,10.84,13.06,9.07,10.6,8.4,30.6,-9.3,Small Cap,0
2019-06-28,REAL,"The RealReal, Inc.",20.0,6.43,-67.7,727.19,2019,Luxury Goods,26.51,25.12,17.81,13.4,32.55,25.6,-10.95,-33.0,Mid Cap,0
2019-06-27,ADPT,Adaptive Biotechnologies Corporation,20.0,10.02,-49.9,1520.0,2019,Biotechnology,39.16,39.67,30.0,46.29,95.8,98.35,50.0,131.45,Mid Cap,1
2019-06-27,BBIO,"BridgeBio Pharma, Inc.",17.0,38.14,122.82,7240.0,2019,Biotechnology,28.61,28.37,45.5,33.2,68.29,66.88,167.65,95.29,Large Cap,1
2019-06-26,CMBM,Cambium Networks Corporation,12.0,0.45,-96.25,12.71,2019,Communication Equipment,9.48,9.98,7.71,6.8,-21.0,-16.83,-35.75,-43.33,Small Cap,0
2019-06-20,AKRO,"Akero Therapeutics, Inc.",16.0,44.92,180.19,3580.0,2019,Biotechnology,18.56,20.78,19.09,26.76,16.0,29.88,19.31,67.25,Large Cap,1
