IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Year,Industry
"Oct 15, 2020",MNSO,MINISO Group Holding Limited,20.0,18.49,-7.55,5670.0,2020,Specialty Retail
"Oct 9, 2020",IH,iHuman Inc.,12.0,2.25,-81.25,117.04,2020,Education & Training Services
"Oct 9, 2020",INTZ,Intrusion Inc.,8.0,1.44,-80.88,29.86,2020,Software - Infrastructure
"Oct 9, 2020",KRON,"Kronos Bio, Inc.",19.0,0.73,-96.28,44.57,2020,Biotechnology
"Oct 9, 2020",SPRB,"Spruce Biosciences, Inc.",15.0,0.08,-99.48,3.32,2020,Biotechnology
"Oct 9, 2020",STTK,"Shattuck Labs, Inc.",17.0,1.0,-93.85,47.67,2020,Biotechnology
"Oct 8, 2020",ELUT,Elutia Inc.,17.0,1.93,-88.0,78.62,2020,Medical Devices
"Oct 8, 2020",FUBO,fuboTV Inc.,10.0,2.52,-76.15,860.52,2020,Broadcasting
"Oct 7, 2020",SQFT,"Presidio Property Trust, Inc.",5.0,0.65,-86.8,8.37,2020,REIT - Diversified
"Oct 2, 2020",ASO,"Academy Sports and Outdoors, Inc.",13.0,37.83,196.62,2520.0,2020,Specialty Retail
"Oct 2, 2020",AVAN,Avanti Acquisition Corp.,10.0,10.04,0.4,753.0,2020,N/A
"Oct 2, 2020",CCCC,"C4 Therapeutics, Inc.",19.0,1.62,-91.47,115.0,2020,Biotechnology
"Oct 2, 2020",IMNM,"Immunome, Inc.",12.0,8.5,-27.67,739.08,2020,Biotechnology
"Oct 2, 2020",ONCR,"Oncorus, Inc.",15.0,0.13,-99.16,3.29,2020,N/A
"Oct 2, 2020",VYGG,Vy Global Growth,10.0,10.05,0.5,722.34,2020,N/A
"Oct 1, 2020",AVO,"Mission Produce, Inc.",12.0,10.41,-12.75,739.5,2020,Food Distribution
"Oct 1, 2020",IGAC,IG Acquisition Corp.,10.0,10.12,1.2,101.56,2020,N/A
"Oct 1, 2020",LUNG,Pulmonx Corporation,19.0,3.6,-81.05,144.93,2020,Medical Devices
