IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Year
"Oct 2, 2020",VYGG,Vy Global Growth,10.0,10.05,0.5,722.34,2020
"Oct 1, 2020",AVO,"Mission Produce, Inc.",12.0,10.38,-13.5,737.01,2020
"Oct 1, 2020",IGAC,IG Acquisition Corp.,10.0,10.12,1.2,101.56,2020
"Oct 1, 2020",LUNG,Pulmonx Corporation,19.0,3.43,-81.95,138.08,2020
"Oct 1, 2020",LXEH,"Lixiang Education Holding Co., Ltd.",9.25,3.49,-65.73,66.89,2020
"Oct 1, 2020",RCHG,Recharge Acquisition Corp.,10.0,10.12,1.2,253.51,2020
"Oct 1, 2020",THRY,"Thryv Holdings, Inc.",10.17,13.58,33.48,593.75,2020
"Sep 30, 2020",ASAN,"Asana, Inc.",21.0,16.41,-21.86,3860.0,2020
"Sep 30, 2020",BQ,Boqii Holding Limited,10.0,2.09,-79.1,0.94028,2020
"Sep 30, 2020",CD,Chindata Group Holdings Limited,13.5,8.45,-37.41,3100.0,2020
"Sep 30, 2020",PLTR,Palantir Technologies Inc.,7.25,108.86,,256899.99999999997,2020
"Sep 30, 2020",YALA,Yalla Group Limited,7.5,6.98,-6.93,1100.0,2020
"Sep 29, 2020",ORPHY,Orphazyme A/S,11.0,,,1.06,2020
"Sep 25, 2020",AMST,Amesite Inc.,5.0,2.13,-57.4,8.51,2020
"Sep 25, 2020",GLSI,"Greenwich LifeSciences, Inc.",5.75,9.4,63.48,124.77,2020
"Sep 25, 2020",GRAY,"Graybug Vision, Inc.",16.0,5.5,-65.63,120.98,2020
"Sep 25, 2020",PMVP,"PMV Pharmaceuticals, Inc.",18.0,0.87,-94.8,45.19,2020
"Sep 25, 2020",PRLD,Prelude Therapeutics Incorporated,19.0,0.79,-95.84,44.58,2020
"Sep 25, 2020",SYTA,Siyata Mobile Inc.,7.25,1.03,-85.79,3.11,2020
"Sep 24, 2020",TSHA,"Taysha Gene Therapies, Inc.",20.0,2.0,-90.0,410.11,2020
"Sep 23, 2020",BSY,"Bentley Systems, Incorporated",22.0,43.79,99.05,13810.0,2020
"Sep 23, 2020",CRSR,"Corsair Gaming, Inc.",17.0,6.8,-60.0,719.57,2020
"Sep 23, 2020",GDRX,"GoodRx Holdings, Inc.",33.0,4.28,-87.03,1640.0,2020
"Sep 23, 2020",LSF,"Laird Superfood, Inc.",22.0,6.54,-70.23,67.36,2020
"Sep 22, 2020",PMVC,PMV Consumer Acquisition Corp.,10.0,10.02,0.2,62.34,2020
"Sep 18, 2020",ATHA,"Athira Pharma, Inc.",17.0,0.26,-98.47,10.03,2020
"Sep 18, 2020",CMPS,COMPASS Pathways plc,17.0,3.65,-78.53,337.79,2020
"Sep 18, 2020",NMMC,North Mountain Merger Corp.,10.0,10.02,0.2,165.48,2020
"Sep 18, 2020",U,Unity Software Inc.,52.0,21.32,-59.0,8860.0,2020
"Sep 18, 2020",VTRU,Vitru Limited,16.0,9.07,-43.31,304.24,2020
"Sep 17, 2020",AMWL,American Well Corporation,18.0,6.7,-62.78,105.99,2020
"Sep 17, 2020",BNL,"Broadstone Net Lease, Inc.",17.0,16.0,-5.88,3160.0,2020
"Sep 17, 2020",DYN,"Dyne Therapeutics, Inc.",19.0,10.08,-46.97,1140.0,2020
"Sep 17, 2020",PTVE,"Pactiv Evergreen, Inc.",14.0,18.01,28.64,3250.0,2020
"Sep 17, 2020",SUMO,"Sumo Logic, Inc.",22.0,12.04,-45.27,1490.0,2020
"Sep 16, 2020",EQD,Equity Distribution Acquisition Corp.,10.0,10.02,0.2,518.54,2020
